metric,effect,mean,ci95_low,ci95_high,n
exporter_1_allocation_volatility,S_minus_N,5.165984900552757,4.951613392840206,5.380356408265308,50
exporter_1_allocation_volatility,F_minus_S,-2.104507007826111,-2.2100437334715397,-1.998970282180683,50
exporter_1_allocation_volatility,F_minus_N,3.0614778927266446,2.917177389605717,3.205778395847572,50
exporter_1_readiness_volatility,S_minus_N,1.6228211577842035,1.5755501012301227,1.6700922143382844,50
exporter_1_readiness_volatility,F_minus_S,0.23667930635217752,0.1180702883689682,0.3552883243353868,50
exporter_1_readiness_volatility,F_minus_N,1.8595004641363808,1.7345348758239654,1.9844660524487963,50
exporter_2_allocation_volatility,S_minus_N,5.360646654499693,5.176676099454912,5.544617209544473,50
exporter_2_allocation_volatility,F_minus_S,-2.114833041141239,-2.2252349758705945,-2.004431106411883,50
exporter_2_allocation_volatility,F_minus_N,3.245813613358454,3.12273147110507,3.3688957556118377,50
exporter_2_readiness_volatility,S_minus_N,1.6432216102839985,1.5947090788797849,1.6917341416882121,50
exporter_2_readiness_volatility,F_minus_S,0.38144075074563005,0.2622682867679094,0.5006132147233506,50
exporter_2_readiness_volatility,F_minus_N,2.0246623610296286,1.9044114380406933,2.1449132840185636,50
importer_procurement_bullwhip,S_minus_N,-0.37846984080751866,-0.5055702567893172,-0.25136942482572017,50
importer_procurement_bullwhip,F_minus_S,-2.9395811961852933,-3.1089035986843765,-2.77025879368621,50
importer_procurement_bullwhip,F_minus_N,-3.3180510369928125,-3.500583482879939,-3.135518591105686,50
mean_abs_readiness_mismatch_1,S_minus_N,1.7625093943495778,1.6382345480247364,1.886784240674419,50
mean_abs_readiness_mismatch_1,F_minus_S,-5.673739743360141,-5.731796055442732,-5.615683431277549,50
mean_abs_readiness_mismatch_1,F_minus_N,-3.9112303490105633,-4.024007609157973,-3.7984530888631536,50
mean_abs_readiness_mismatch_2,S_minus_N,1.9208824783093916,1.8238942685186719,2.0178706881001114,50
mean_abs_readiness_mismatch_2,F_minus_S,-5.746214461828527,-5.800064150743904,-5.692364772913149,50
mean_abs_readiness_mismatch_2,F_minus_N,-3.8253319835191353,-3.917850277158128,-3.7328136898801425,50
mean_total_inventory,S_minus_N,6.630603434452846,6.5892973160335435,6.671909552872148,50
mean_total_inventory,F_minus_S,-1.6872260349300752,-1.7939197208446969,-1.5805323490154535,50
mean_total_inventory,F_minus_N,4.943377399522771,4.8467300903558375,5.040024708689705,50
retail_order_bullwhip,S_minus_N,0.15704329247537493,0.12909024088038054,0.18499634407036933,50
retail_order_bullwhip,F_minus_S,-0.4240522757894912,-0.45901402452018625,-0.3890905270587961,50
retail_order_bullwhip,F_minus_N,-0.26700898331411616,-0.2984148168115506,-0.23560314981668173,50
service_level,S_minus_N,-0.006895992464744173,-0.007427313356505471,-0.006364671572982875,50
service_level,F_minus_S,0.008365512061621158,0.007758845682446499,0.008972178440795817,50
service_level,F_minus_N,0.0014695195968769568,0.0011098252983318113,0.0018292138954221022,50
total_lost_sales,S_minus_N,165.66542267677391,152.9386310452843,178.39221430826353,50
total_lost_sales,F_minus_S,-200.97749089533528,-215.5577133391172,-186.39726845155334,50
total_lost_sales,F_minus_N,-35.31206821856141,-43.966691027548194,-26.65744540957462,50
total_waste,S_minus_N,770.8228221807883,749.3713915161211,792.2742528454555,50
total_waste,F_minus_S,-654.8913588767881,-679.14887226872,-630.6338454848562,50
total_waste,F_minus_N,115.9314633040003,103.48383943192326,128.37908717607735,50
waste_rate,S_minus_N,0.029788538834658162,0.028985916003595305,0.03059116166572102,50
waste_rate,F_minus_S,-0.025301596167873946,-0.02622130547894746,-0.024381886856800435,50
waste_rate,F_minus_N,0.004486942666784166,0.003991633380288095,0.004982251953280237,50
