regime,metric,mean,ci95_low,ci95_high,n
F,service_level,0.99072255987148,0.9901761914204694,0.9912689283224905,50
F,waste_rate,0.03777238910797057,0.03697151948295648,0.038573258732984665,50
F,retail_order_bullwhip,2.9532742143541793,2.916010109172169,2.9905383195361894,50
F,importer_procurement_bullwhip,12.265438037607861,11.996904985556126,12.533971089659596,50
F,exporter_1_allocation_volatility,6.957350161376814,6.781690615334662,7.1330097074189664,50
F,exporter_2_allocation_volatility,7.141685882008622,6.9706289867042255,7.312742777313019,50
F,exporter_1_readiness_volatility,6.957350161376814,6.781690615334662,7.1330097074189664,50
F,exporter_2_readiness_volatility,7.141685882008622,6.9706289867042255,7.312742777313019,50
F,mean_total_inventory,58.98951893331433,58.86071800915246,59.1183198574762,50
F,total_lost_sales,222.82863297859723,209.76469505701894,235.8925709001755,50
F,total_waste,934.3958550616386,914.3033673139724,954.4883428093048,50
F,mean_abs_readiness_mismatch_1,0.0,0.0,0.0,50
F,mean_abs_readiness_mismatch_2,0.0,0.0,0.0,50
N,service_level,0.989253040274603,0.9886217886709031,0.989884291878303,50
N,waste_rate,0.03328544644118636,0.032357761481109484,0.03421313140126324,50
N,retail_order_bullwhip,3.220283197668296,3.177312690659607,3.2632537046769854,50
N,importer_procurement_bullwhip,15.583489074600674,15.280785823816153,15.886192325385196,50
N,exporter_1_allocation_volatility,3.8958722686501686,3.8201964559540382,3.971548081346299,50
N,exporter_2_allocation_volatility,3.8958722686501686,3.8201964559540382,3.971548081346299,50
N,exporter_1_readiness_volatility,5.097849697240433,5.00775209371892,5.187947300761945,50
N,exporter_2_readiness_volatility,5.117023520978995,5.030475108263026,5.203571933694963,50
N,mean_total_inventory,54.04614153379157,53.88751312816932,54.20476993941382,50
N,total_lost_sales,258.14070119715865,243.01438579120878,273.2670166031085,50
N,total_waste,818.4643917576382,795.3458265956883,841.582956919588,50
N,mean_abs_readiness_mismatch_1,3.9112303490105633,3.7984530888631536,4.024007609157973,50
N,mean_abs_readiness_mismatch_2,3.8253319835191353,3.7328136898801425,3.917850277158128,50
S,service_level,0.9823570478098589,0.9814161943703967,0.983297901249321,50
S,waste_rate,0.06307398527584458,0.06159432752434408,0.06455364302734509,50
S,retail_order_bullwhip,3.377326490143671,3.3224824898657555,3.4321704904215866,50
S,importer_procurement_bullwhip,15.205019233793157,14.893034021141782,15.517004446444533,50
S,exporter_1_allocation_volatility,9.061857169202925,8.811852112219535,9.311862226186316,50
S,exporter_2_allocation_volatility,9.256518923149862,9.015050931562184,9.49798691473754,50
S,exporter_1_readiness_volatility,6.720670855024635,6.604325520268105,6.837016189781165,50
S,exporter_2_readiness_volatility,6.760245131262994,6.639426485465515,6.881063777060472,50
S,mean_total_inventory,60.6767449682444,60.51124078506127,60.84224915142753,50
S,total_lost_sales,423.8061238739326,401.279762974758,446.33248477310724,50
S,total_waste,1589.2872139384265,1550.8393024988604,1627.7351253779925,50
S,mean_abs_readiness_mismatch_1,5.673739743360141,5.615683431277549,5.731796055442732,50
S,mean_abs_readiness_mismatch_2,5.746214461828527,5.692364772913149,5.800064150743904,50
